IDD	Indiv	Female	Rep	Time	HT
2225	557	F06	3	1	80
2226	557	F06	3	2	178
2227	557	F06	3	3	310
2228	557	F06	3	4	460.2
2229	558	F19	3	1	59
2230	558	F19	3	2	124
2231	558	F19	3	3	250
2232	558	F19	3	4	350.5
2233	559	F11	3	1	80
2234	559	F11	3	2	169
2235	559	F11	3	3	280
2236	559	F11	3	4	390.1
2237	560	F04	3	1	93
2238	560	F04	3	2	186
2239	560	F04	3	3	360
2240	560	F04	3	4	481.6
2241	561	F23	3	1	125
2242	561	F23	3	2	224
2243	561	F23	3	3	390
2244	561	F23	3	4	527.3
2245	562	F04	3	1	85
2246	562	F04	3	2	194
2247	562	F04	3	3	370
2248	562	F04	3	4	515.1
2249	563	F05	3	1	115
2250	563	F05	3	2	190
2251	563	F05	3	3	350
2252	563	F05	3	4	536.4
2253	564	F14	3	1	70
2254	564	F14	3	2	157
2255	564	F14	3	3	310
2256	564	F14	3	4	454.2
2257	565	F15	3	1	90
