INDIV	Sire	Dam	FAM	DaysM	Sex	Market
1283	669	733	669-733	472.9	1	0
1284	669	733	669-733	538.58	2	1
1285	669	733	669-733	560.02	2	1
1286	669	733	669-733	492.2	1	0
1287	669	733	669-733	462.33	2	0
1288	669	733	669-733	542.76	2	1
1289	669	733	669-733	578.24	2	1
1290	669	733	669-733	530.11	2	0
1291	669	733	669-733	533.44	1	1
1292	669	733	669-733	536.44	2	1
1293	546	620	546-620	490.26	2	1
1294	546	620	546-620	484.08	2	0
1295	546	620	546-620	522.54	1	1
1296	546	620	546-620	721.58	1	1
1297	546	620	546-620	483.94	2	0
1298	546	620	546-620	549.74	2	1
1299	546	620	546-620	517.82	2	1
1300	546	620	546-620	486.96	1	0
1301	546	620	546-620	691.79	1	1
1302	546	620	546-620	501.31	2	0
1303	507	605	507-605	491.28	1	1
1304	507	605	507-605	586.08	1	1
1305	507	605	507-605	521.81	1	1
1306	507	605	507-605	618.75	2	1
1307	507	605	507-605	561.86	2	1
1308	507	605	507-605	520.06	2	1
1309	507	605	507-605	481.13	1	0
1310	507	605	507-605	583.6	1	1
1311	507	605	507-605	542.65	1	1
1312	507	605	507-605	575.23	2	1
1313	507	605	507-605	618.32	2	1
1314	507	605	507-605	559.12	2	1
1315	507	605	507-605	527.98	2	1
1316	706	559	706-559	527.03	1	1
1317	706	559	706-559	451.86	1	1
1318	706	559	706-559	504.49	2	1
1319	706	559	706-559	460.66	1	0
1320	706	559	706-559	473.4	2	1
1321	706	559	706-559	589.37	2	1
1322	706	559	706-559	526.02	2	1
1323	706	559	706-559	553	1	1
1324	706	559	706-559	515.91	1	0
1325	573	560	573-560	543.7	2	1
1326	573	560	573-560	516.9	1	1
1327	573	560	573-560	576.64	2	1
1328	573	560	573-560	623.55	2	1
1329	573	560	573-560	513.08	1	1
1330	573	560	573-560	579.69	2	1
1331	566	604	566-604	669.55	2	1
1332	566	604	566-604	641.55	2	1
1333	566	604	566-604	522.39	1	1
1334	566	604	566-604	547.58	1	1
1335	566	604	566-604	456.27	1	1
1336	566	604	566-604	509.76	2	1
1337	656	662	656-662	458.33	1	0
1338	656	662	656-662	616.52	1	1
1339	656	662	656-662	594.34	2	1
1340	656	662	656-662	545.45	1	1
1341	656	662	656-662	536.25	2	1
1342	656	662	656-662	552.52	2	1
1343	656	662	656-662	540.84	2	1
1344	540	692	540-692	525.81	2	0
1345	540	692	540-692	495.98	2	0
1346	540	692	540-692	441.56	1	0
1347	540	692	540-692	423.59	1	0
1348	540	692	540-692	480.84	2	1
1349	540	692	540-692	513.3	2	1
1350	540	692	540-692	511.4	2	1
1351	540	692	540-692	467.45	1	0
1352	540	692	540-692	446.78	1	1
1353	540	692	540-692	533.35	2	0
1354	540	692	540-692	442.64	1	0
