IDSORT	FamilyID	Female	Male	cloneid	Rep	IncBlock	Tree	VOL
3203	49	Par906	Par929	713	3	102	3	455.6755
3204	35	Par925	Par924	508	3	102	4	NA
3205	26	Par922	Par921	377	3	102	5	797.5037
3206	39	Par912	Par923	568	3	103	1	387.0001
3207	45	Par901	Par919	666	3	103	2	462.3707
3208	61	Par912	Par904	864	3	103	3	627.7423
3209	34	Par925	Par907	500	3	103	4	797.5037
3210	3	Par903	Par927	38	3	103	5	644.4687
3212	25	Par905	Par927	356	3	104	2	NA
3213	33	Par908	Par914	482	3	104	3	752.5976
3214	20	Par917	Par901	269	3	104	4	602.6528
3215	48	Par910	Par911	704	3	104	5	473.7203
3216	36	Par912	Par920	520	3	105	1	NA
3217	26	Par922	Par921	371	3	105	2	359.9772
3218	11	Par929	Par920	144	3	105	3	499.3461
3220	16	Par914	Par907	227	3	105	5	344.1559
3222	45	Par901	Par919	658	3	106	2	NA
3223	10	Par905	Par930	127	3	106	3	681.5276
3224	1	Par915	Par932	9	3	106	4	751.1594
3226	12	Par917	Par921	156	3	107	1	250.807
3227	3	Par903	Par927	33	3	107	2	663.6069
3229	20	Par917	Par901	277	3	107	4	NA
3230	25	Par905	Par927	344	3	107	5	506.5767
3232	51	Par905	Par921	736	3	108	2	508.5218
3233	45	Par901	Par919	662	3	108	3	540.8851
3234	38	Par923	Par931	547	3	108	4	NA
3235	34	Par925	Par907	492	3	108	5	NA
3236	33	Par908	Par914	475	3	109	1	193.6894
3238	50	Par908	Par909	722	3	109	3	NA
3239	61	Par912	Par904	859	3	109	4	756.6377
3240	47	Par928	Par904	688	3	109	5	611.016
3241	18	Par917	Par911	249	3	110	1	NA
3243	47	Par928	Par904	686	3	110	3	893.4074
3246	3	Par903	Par927	30	3	110	6	NA
3247	20	Par917	Par901	276	3	110	7	611.016
3248	25	Par905	Par927	358	3	110	8	NA
3250	61	Par912	Par904	857	3	110	10	NA
3251	18	Par917	Par911	251	3	109	6	542.7295
3252	12	Par917	Par921	165	3	109	7	NA
3253	3	Par903	Par927	31	3	109	8	565.548
3254	25	Par905	Par927	353	3	109	9	NA
3256	25	Par905	Par927	350	3	108	6	632.6432
3257	20	Par917	Par901	278	3	108	7	644.4687
3258	18	Par917	Par911	243	3	108	8	897.6902
3260	3	Par903	Par927	39	3	108	10	521.0378
3262	61	Par912	Par904	867	3	107	7	654.6466
3263	51	Par905	Par921	738	3	107	8	570.9091
3264	38	Par923	Par931	541	3	107	9	NA
3265	47	Par928	Par904	692	3	107	10	506.5767
3266	61	Par912	Par904	856	3	106	6	NA
3267	34	Par925	Par907	496	3	106	7	NA
3268	19	Par913	Par922	268	3	106	8	867.3239
3269	26	Par922	Par921	363	3	106	9	387.0001
3270	21	Par932	Par931	295	3	106	10	NA
3271	35	Par925	Par924	506	3	105	6	746.4212
3272	1	Par915	Par932	11	3	105	7	732.8081
3274	49	Par906	Par929	709	3	105	9	521.0378
3275	46	Par927	Par931	678	3	105	10	NA
3276	38	Par923	Par931	543	3	104	6	555.8971
3277	12	Par917	Par921	158	3	104	7	NA
3278	3	Par903	Par927	27	3	104	8	766.8542
3279	61	Par912	Par904	855	3	104	9	NA
3280	51	Par905	Par921	741	3	104	10	245.5439
3281	25	Par905	Par927	355	3	103	6	NA
3282	20	Par917	Par901	274	3	103	7	704.826
3283	18	Par917	Par911	245	3	103	8	319.2389
3284	10	Par905	Par930	128	3	103	9	513.8072
3287	1	Par915	Par932	8	3	102	7	476.5922
3288	21	Par932	Par931	291	3	102	8	489.1513
3289	59	Par914	Par926	829	3	102	9	457.7191
3290	16	Par914	Par907	229	3	102	10	NA
3291	11	Par929	Par920	149	3	101	6	NA
3295	37	Par906	Par920	536	3	101	10	732.626
3297	59	Par914	Par926	833	3	100	7	NA
3298	49	Par906	Par929	708	3	100	8	513.8072
3299	46	Par927	Par931	677	3	100	9	658.6208
