ID	REP	IBLOCK	PLOT	INDIV	GENOTYPE	YD
119	2	4	14	3	14	9.37
120	2	4	14	4	14	9.48
121	2	4	15	1	15	9.33
122	2	4	15	2	15	8.75
123	2	4	15	3	15	10.11
124	2	4	15	4	15	8.98
125	2	4	16	1	16	8.46
126	2	4	16	2	16	8.74
127	2	4	16	3	16	10.44
128	2	4	16	4	16	9.09
129	3	1	1	1	1	11.49
130	3	1	1	2	1	10.20
131	3	1	1	3	1	10.44
132	3	1	1	4	1	11.54
133	3	1	2	1	2	11.95
134	3	1	2	2	2	11.28
135	3	1	2	3	2	11.37
136	3	1	2	4	2	11.56
137	3	1	3	1	3	10.34
138	3	1	3	2	3	9.23
139	3	1	3	3	3	9.99
140	3	1	3	4	3	9.79
141	3	1	4	1	4	8.25
142	3	1	4	2	4	8.04
143	3	1	4	3	4	8.89
144	3	1	4	4	4	-9.00
145	3	2	5	1	5	10.64
146	3	2	5	2	5	9.94
147	3	2	5	3	5	11.33
148	3	2	5	4	5	10.80
149	3	2	6	1	6	10.30
150	3	2	6	2	6	10.88
151	3	2	6	3	6	11.91
152	3	2	6	4	6	10.73
153	3	2	7	1	7	11.65
154	3	2	7	2	7	11.57
155	3	2	7	3	7	11.18
156	3	2	7	4	7	12.46
157	3	2	8	1	8	11.62
158	3	2	8	2	8	11.04
159	3	2	8	3	8	11.70
160	3	2	8	4	8	11.92
161	3	3	9	1	9	9.43
162	3	3	9	2	9	10.04
163	3	3	9	3	9	10.51
164	3	3	9	4	9	10.62
165	3	3	10	1	10	10.68
166	3	3	10	2	10	10.14
167	3	3	10	3	10	10.11
168	3	3	10	4	10	9.30
169	3	3	11	1	11	8.60
170	3	3	11	2	11	9.36
171	3	3	11	3	11	9.77
172	3	3	11	4	11	10.43
173	3	3	12	1	12	9.28
174	3	3	12	2	12	10.04
175	3	3	12	3	12	8.78
176	3	3	12	4	12	9.61
177	3	4	13	1	13	11.25
178	3	4	13	2	13	11.03
179	3	4	13	3	13	10.61
180	3	4	13	4	13	11.83
181	3	4	14	1	14	10.16
182	3	4	14	2	14	10.25
183	3	4	14	3	14	10.25
184	3	4	14	4	14	10.04
185	3	4	15	1	15	11.19
186	3	4	15	2	15	10.32
187	3	4	15	3	15	10.06
188	3	4	15	4	15	9.85
189	3	4	16	1	16	9.92
190	3	4	16	2	16	10.09
191	3	4	16	3	16	10.61
192	3	4	16	4	16	11.39
193	4	1	1	1	1	10.52
194	4	1	1	2	1	9.88
195	4	1	1	3	1	9.78
196	4	1	1	4	1	8.64
197	4	1	2	1	2	11.01
198	4	1	2	2	2	10.06
199	4	1	2	3	2	9.02
200	4	1	2	4	2	11.72
201	4	1	3	1	3	9.76
202	4	1	3	2	3	8.73
203	4	1	3	3	3	9.61
204	4	1	3	4	3	10.34
205	4	1	4	1	4	11.76
206	4	1	4	2	4	10.41
207	4	1	4	3	4	11.43
208	4	1	4	4	4	9.33
209	4	2	5	1	5	10.91
210	4	2	5	2	5	12.01
211	4	2	5	3	5	10.13
212	4	2	5	4	5	10.61
213	4	2	6	1	6	10.62
214	4	2	6	2	6	9.48
215	4	2	6	3	6	11.02
216	4	2	6	4	6	9.19
217	4	2	7	1	7	-9.00
218	4	2	7	2	7	9.69
219	4	2	7	3	7	10.92
220	4	2	7	4	7	8.76
221	4	2	8	1	8	10.57
222	4	2	8	2	8	9.76
223	4	2	8	3	8	10.16
224	4	2	8	4	8	11.17
225	4	3	9	1	9	9.58
226	4	3	9	2	9	10.63
227	4	3	9	3	9	10.00
228	4	3	9	4	9	9.86
229	4	3	10	1	10	11.59
230	4	3	10	2	10	10.64
231	4	3	10	3	10	10.51
232	4	3	10	4	10	10.76
233	4	3	11	1	11	10.89
234	4	3	11	2	11	8.73
235	4	3	11	3	11	10.02
236	4	3	11	4	11	8.86
237	4	3	12	1	12	9.86
238	4	3	12	2	12	9.61
239	4	3	12	3	12	10.17
240	4	3	12	4	12	8.61
241	4	4	13	1	13	9.81
242	4	4	13	2	13	10.35
243	4	4	13	3	13	9.92
244	4	4	13	4	13	9.87
245	4	4	14	1	14	9.84
246	4	4	14	2	14	9.94
247	4	4	14	3	14	8.77
248	4	4	14	4	14	9.35
249	4	4	15	1	15	9.55
250	4	4	15	2	15	-9.00
251	4	4	15	3	15	9.36
252	4	4	15	4	15	9.05
253	4	4	16	1	16	10.68
254	4	4	16	2	16	9.19
255	4	4	16	3	16	9.28
256	4	4	16	4	16	9.72
