REP	FAMILY	FEMALE	MALE	YIELD	CHECKLOT
15	C4	C4	C4	147.648	1
15	FAM041	PAR0026	PAR0022	164.858	0
15	FAM169	PAR0015	PAR0024	188.979	0
15	FAM138	PAR0053	PAR0061	326.92	0
15	FAM118	PAR0051	PAR0020	253.954	0
15	FAM022	PAR0004	PAR0024	314.218	0
15	FAM051	PAR0031	PAR0061	113.327	0
15	FAM057	PAR0035	PAR0033	190.164	0
15	C40	C40	C40	267.082	1
15	FAM097	PAR0047	PAR0005	172.191	0
15	FAM062	PAR0034	PAR0061	269.289	0
15	FAM039	PAR0020	PAR0024	170.242	0
15	FAM043	PAR0024	PAR0053	60.178	0
15	FAM163	PAR0059	PAR0041	112.662	0
15	FAM173	PAR0064	PAR0051	263.211	0
15	FAM164	PAR0059	PAR0042	333.475	0
15	FAM029	PAR0008	PAR0030	364.853	0
15	FAM156	PAR0058	PAR0061	139.154	0
15	FAM167	PAR0060	PAR0060	251.241	0
15	FAM050	PAR0031	PAR0032	278.571	0
15	FAM129	PAR0052	PAR0047	196.112	0
15	C2	C2	C2	181.031	1
15	FAM172	PAR0064	PAR0020	225.527	0
15	FAM151	PAR0056	PAR0056	70.848	0
15	FAM079	PAR0039	PAR0061	249.168	0
15	FAM165	PAR0059	PAR0059	145.806	0
15	FAM006	PAR0001	PAR0020	200.015	0
15	FAM024	PAR0004	PAR0061	220.708	0
15	FAM057	PAR0033	PAR0035	107.767	0
15	FAM064	PAR0035	PAR0061	340.868	0
15	FAM113	PAR0050	PAR0057	156.956	0
15	FAM044	PAR0025	PAR0044	234.992	0
15	FAM002	PAR0045	PAR0046	135.219	0
15	FAM073	PAR0038	PAR0048	139.47	0
15	FAM001	PAR0025	PAR0021	261.024	0
15	FAM007	PAR0001	PAR0024	232.076	0
15	FAM023	PAR0004	PAR0027	235.74	0
15	FAM078	PAR0039	PAR0035	234.992	0
15	FAM116	PAR0051	PAR0010	372.815	0
15	FAM098	PAR0047	PAR0006	362.019	0
15	FAM060	PAR0034	PAR0037	242.034	0
15	FAM106	PAR0048	PAR0057	128.295	0
15	FAM070	PAR0040	PAR0037	324.639	0
15	FAM135	PAR0053	PAR0025	203.539	0
15	FAM028	PAR0007	PAR0025	282.336	0
15	FAM140	PAR0054	PAR0008	227.443	0
15	FAM046	PAR0031	PAR0029	195.826	0
15	FAM150	PAR0056	PAR0009	313.692	0
15	FAM127	PAR0052	PAR0026	201.988	0
15	FAM086	PAR0045	PAR0020	240.626	0
15	FAM070	PAR0037	PAR0040	300.58	0
15	FAM134	PAR0053	PAR0021	291.002	0
15	FAM072	PAR0038	PAR0038	107.704	0
15	FAM125	PAR0052	PAR0022	343.794	0
15	FAM055	PAR0032	PAR0061	222.995	0
15	FAM017	PAR0006	PAR0003	306.507	0
15	FAM132	PAR0053	PAR0008	290.165	0
15	FAM094	PAR0046	PAR0046	128.857	0
15	FAM032	PAR0009	PAR0061	276.27	0
15	FAM013	PAR0002	PAR0038	131.648	0
15	FAM119	PAR0051	PAR0024	328.433	0
15	FAM014	PAR0002	PAR0048	192.094	0
15	FAM089	PAR0045	PAR0058	383.444	0
15	FAM095	PAR0046	PAR0058	275.234	0
