INDIV	FEMALE	MALE
749	FEM19	0
750	FEM19	0
751	FEM26	0
752	FEM26	0
753	FEM26	0
754	FEM26	0
755	FEM26	0
756	FEM26	0
757	FEM11	0
758	FEM11	0
759	FEM11	0
760	FEM11	0
761	FEM11	0
762	FEM11	0
763	FEM17	0
764	FEM17	0
765	FEM17	0
766	FEM17	0
767	FEM17	0
768	FEM17	0
769	C3	0
770	C3	0
771	C3	0
772	C3	0
773	C3	0
774	C3	0
775	FEM4	0
776	FEM4	0
777	FEM4	0
778	FEM4	0
779	FEM4	0
780	FEM4	0
781	FEM18	0
782	FEM18	0
783	FEM18	0
784	FEM18	0
785	FEM18	0
786	FEM18	0
787	C2	0
788	C2	0
789	C2	0
790	C2	0
791	C2	0
792	C2	0
793	FEM12	0
794	FEM12	0
795	FEM12	0
796	FEM12	0
797	FEM12	0
798	FEM12	0
799	FEM22	0
800	FEM22	0
801	FEM22	0
802	FEM22	0
803	FEM22	0
804	FEM22	0
805	C1	0
806	C1	0
807	C1	0
808	C1	0
809	C1	0
810	C1	0
811	FEM27	0
812	FEM27	0
813	FEM27	0
814	FEM27	0
815	FEM27	0
816	FEM27	0
817	FEM6	0
818	FEM6	0
819	FEM6	0
820	FEM6	0
821	FEM6	0
822	FEM6	0
823	FEM23	0
824	FEM23	0
825	FEM23	0
826	FEM23	0
827	FEM23	0
828	FEM23	0
829	FEM17	0
830	FEM17	0
831	FEM17	0
832	FEM17	0
833	FEM17	0
834	FEM17	0
835	FEM10	0
836	FEM10	0
837	FEM10	0
838	FEM10	0
839	FEM10	0
840	FEM10	0
841	FEM27	0
842	FEM27	0
843	FEM27	0
844	FEM27	0
845	FEM27	0
846	FEM27	0
847	FEM3	0
848	FEM3	0
849	FEM3	0
850	FEM3	0
851	FEM3	0
852	FEM3	0
853	FEM18	0
854	FEM18	0
855	FEM18	0
856	FEM18	0
857	FEM18	0
858	FEM18	0
859	FEM9	0
860	FEM9	0
861	FEM9	0
862	FEM9	0
863	FEM9	0
864	FEM9	0
865	FEM15	0
866	FEM15	0
867	FEM15	0
868	FEM15	0
869	FEM15	0
870	FEM15	0
871	FEM2	0
872	FEM2	0
873	FEM2	0
874	FEM2	0
875	FEM2	0
876	FEM2	0
877	FEM26	0
878	FEM26	0
879	FEM26	0
880	FEM26	0
881	FEM26	0
882	FEM26	0
883	C1	0
884	C1	0
885	C1	0
886	C1	0
887	C1	0
888	C1	0
889	C2	0
890	C2	0
891	C2	0
892	C2	0
893	C2	0
894	C2	0
895	FEM16	0
896	FEM16	0
897	FEM16	0
898	FEM16	0
899	FEM16	0
