INDIV	REP	PLOT	FEMALE	TYPE	DBH	HT
367	2	62	C2	Control	25.6	13.3
368	2	62	C2	Control	24.1	13.3
369	2	62	C2	Control	24.9	13.2
370	2	62	C2	Control	28.7	13.3
371	2	62	C2	Control	NA	NA
372	2	62	C2	Control	33.1	13.4
373	2	63	FEM19	Test	17.3	11.8
374	2	63	FEM19	Test	21.3	11.3
375	2	63	FEM19	Test	17.8	11.6
376	2	63	FEM19	Test	19.6	11.5
377	2	63	FEM19	Test	18.2	12.1
378	2	63	FEM19	Test	23.2	12.6
379	2	64	FEM18	Test	21.7	10.9
380	2	64	FEM18	Test	22.4	12.4
381	2	64	FEM18	Test	23.1	11.7
382	2	64	FEM18	Test	21.2	10.9
383	2	64	FEM18	Test	25.1	13.4
384	2	64	FEM18	Test	19.7	10.6
385	2	65	FEM7	Test	24.7	11.6
386	2	65	FEM7	Test	23.6	13.1
387	2	65	FEM7	Test	20.6	11.9
388	2	65	FEM7	Test	25.9	12.9
389	2	65	FEM7	Test	23.6	13.3
390	2	65	FEM7	Test	21	12.2
391	2	66	C1	Control	16.9	10.9
392	2	66	C1	Control	24.3	12.2
393	2	66	C1	Control	22.6	12.2
394	2	66	C1	Control	25.8	11.7
395	2	66	C1	Control	18.8	11.1
396	2	66	C1	Control	19.7	10.8
397	2	67	FEM27	Test	19.6	10.7
398	2	67	FEM27	Test	19.2	10.7
399	2	67	FEM27	Test	20.5	11.7
400	2	67	FEM27	Test	23.1	12.5
401	2	67	FEM27	Test	19.5	11.8
402	2	67	FEM27	Test	18	10.5
403	2	68	FEM14	Test	NA	NA
404	2	68	FEM14	Test	21.3	11.6
405	2	68	FEM14	Test	15.7	10.2
406	2	68	FEM14	Test	17.1	11.9
407	2	68	FEM14	Test	22.1	11.9
408	2	68	FEM14	Test	22.1	12.3
409	3	69	FEM28	Test	26.4	13.5
410	3	69	FEM28	Test	21.3	11.7
411	3	69	FEM28	Test	19.4	11.4
412	3	69	FEM28	Test	22.1	11.1
413	3	69	FEM28	Test	17.7	10.8
414	3	69	FEM28	Test	22.6	11.8
415	3	70	C2	Control	20.3	NA
416	3	70	C2	Control	27.4	14.2
417	3	70	C2	Control	NA	NA
418	3	70	C2	Control	25.3	12.4
419	3	70	C2	Control	24.7	12.6
420	3	70	C2	Control	24.7	11.6
421	3	71	FEM2	Test	20.9	10.3
422	3	71	FEM2	Test	21.2	11.2
423	3	71	FEM2	Test	18.3	10.2
424	3	71	FEM2	Test	23.5	13.4
425	3	71	FEM2	Test	25.5	12.8
426	3	71	FEM2	Test	NA	NA
427	3	72	FEM4	Test	26.1	12.5
428	3	72	FEM4	Test	23.7	12.1
429	3	72	FEM4	Test	23.3	11.5
430	3	72	FEM4	Test	19.7	11.9
431	3	72	FEM4	Test	25.2	11.2
432	3	72	FEM4	Test	19.5	11.4
433	3	73	FEM10	Test	24.8	12.6
434	3	73	FEM10	Test	19.4	11.4
435	3	73	FEM10	Test	18.9	10.4
436	3	73	FEM10	Test	23.4	12.3
437	3	73	FEM10	Test	21.3	11.4
438	3	73	FEM10	Test	21.7	11.5
439	3	74	FEM25	Test	21.1	10.6
440	3	74	FEM25	Test	26	12.9
441	3	74	FEM25	Test	21.6	12.6
442	3	74	FEM25	Test	18.3	10.6
443	3	74	FEM25	Test	23.3	12.1
444	3	74	FEM25	Test	24.9	12.4
445	3	75	C1	Control	24.3	12.1
446	3	75	C1	Control	19.2	10.3
447	3	75	C1	Control	18.3	10.1
448	3	75	C1	Control	18.6	11.4
449	3	75	C1	Control	19.5	9.3
450	3	75	C1	Control	NA	NA
451	3	76	FEM8	Test	21.8	11.4
452	3	76	FEM8	Test	23.2	12.3
453	3	76	FEM8	Test	NA	NA
454	3	76	FEM8	Test	NA	NA
455	3	76	FEM8	Test	20.3	10.5
456	3	76	FEM8	Test	19.6	11.1
457	3	77	FEM17	Test	10.7	7.6
458	3	77	FEM17	Test	24	12.1
459	3	77	FEM17	Test	20.8	10.1
460	3	77	FEM17	Test	22.4	11.3
461	3	77	FEM17	Test	24.9	12.6
462	3	77	FEM17	Test	23.3	12.7
463	3	78	FEM21	Test	13.5	8.2
464	3	78	FEM21	Test	20.6	9.8
465	3	78	FEM21	Test	22.1	11.7
466	3	78	FEM21	Test	22.7	11.9
467	3	78	FEM21	Test	24.2	12.4
468	3	78	FEM21	Test	19.7	10.4
469	3	79	FEM7	Test	23	12.7
470	3	79	FEM7	Test	22.3	12.2
471	3	79	FEM7	Test	22.5	11.4
472	3	79	FEM7	Test	24.6	11.7
473	3	79	FEM7	Test	20.9	11.1
474	3	79	FEM7	Test	21.5	12.2
