ID	SireID 	DamID 	Family	Weight 
1391	1004	21	4	72.1
1392	1004	21	4	83.7
1393	1004	21	4	72.8
1394	1004	21	4	80.6
1395	1004	21	4	75.5
1396	1004	21	4	80.6
1397	1005	2001	5	96.4
1398	1005	2001	5	74.8
1399	1005	2001	5	88.3
1400	1005	2001	5	91.7
1401	1005	2001	5	110.9
1402	1005	2001	5	73.5
1403	1005	2001	5	88.3
1404	1005	2001	5	80.0
1405	1005	2001	5	77.5
1406	1005	2001	5	103.0
1407	1005	2001	5	77.5
1408	1005	2001	5	72.1
1409	1006	11	6	79.4
1410	1006	11	6	90.0
1411	1006	11	6	108.2
1412	1006	11	6	96.4
1413	1006	11	6	101.0
1414	1007	9	7	94.3
1415	1007	9	7	84.3
1416	1007	9	7	72.1
1417	1007	9	7	74.2
1418	1007	9	7	89.4
1419	1007	9	7	87.2
1420	1007	9	7	74.8
1421	1007	9	7	76.8
1422	1007	9	7	72.1
1423	1007	9	7	94.3
1424	1007	9	7	90.6
1425	1007	9	7	76.8
1426	1007	9	7	76.8
1427	1007	9	7	82.5
1428	1008	15	8	101.0
1429	1008	15	8	81.9
1430	1008	15	8	77.5
1431	1008	15	8	87.2
1432	1008	15	8	83.7
1433	1008	15	8	73.5
1434	1008	15	8	71.4
1435	1008	15	8	74.8
1436	1008	15	8	77.5
1437	1008	15	8	86.0
1438	1008	15	8	90.0
1439	1008	15	8	86.0
1440	1008	15	8	70.7
1441	1008	15	8	91.7
1442	1008	15	8	98.5
1443	1008	15	8	90.0
1444	1008	15	8	97.5
1445	1008	15	8	61.6
1446	1008	15	8	80.0
1447	1008	15	8	86.0
1448	1008	15	8	84.9
1449	1008	15	8	61.6
1450	1008	15	8	72.1
1451	1008	15	8	86.0
1452	1008	15	8	93.8
1453	1009	13	9	81.9
1454	1009	13	9	86.6
1455	1009	13	9	96.4
1456	1009	13	9	78.7
1457	1009	13	9	87.7
1458	1009	13	9	79.4
1459	1009	13	9	82.5
